epoch,accuracy,loss
0,0.9477553,0.12040950743668626
1,0.99869126,0.004563622657470388
2,0.9987541,0.006219379543833673
3,1.0,1.1000367374268095e-05
4,0.9996859,0.002128790737607758
5,1.0,1.0514556052501115e-05
6,1.0,6.475068334388787e-08
7,0.99959165,0.0017987344320858022
8,1.0,6.038836437000757e-08
9,0.9978537,0.02833113231749777
10,1.0,0.0002580497586466407
11,1.0,7.613381289511585e-07
12,0.99870175,0.009677067979869983
13,0.999487,0.003853984357917123
14,1.0,1.5007470121041261e-06
